0,1,2
[-1008.96270116  1033.36308607   990.96270116  1050.63691393],[555 474 556 525],[1289  850 1309 1048]
[-1008.96270116  1033.36308607   990.96270116  1050.63691393],[554 457 556 525],[1280  760 1287  835]
[-1008.96270116  1033.36308607   990.96270116  1050.63691393],[453 309 456 384],[1289  851 1296  921]
[-1008.96270116  1033.36308607   990.96270116  1050.63691393],[830 956 860 882],[1279  753 1301  970]
[-1008.96270116  1033.36308607   990.96270116  1050.63691393],[552 398 554 462],[1303  990 1308 1044]
[-1008.96270116  1033.36308607   990.96270116  1050.63691393],[840 932 862 876],[1279  754 1288  846]
[-1008.96270116  1033.36308607   990.96270116  1050.63691393],[558 542 560 603],[1298  942 1308 1041]
[-1008.96270116  1033.36308607   990.96270116  1050.63691393],[840 932 862 876],[1279  755 1308 1039]
[-1008.96270116  1033.36308607   990.96270116  1050.63691393],[841 929 862 876],[1297  931 1308 1042]
[-1008.96270116  1033.36308607   990.96270116  1050.63691393],[830 957 860 882],[1298  943 1308 1042]
[-1008.96270116  1033.36308607   990.96270116  1050.63691393],[840 932 862 876],[1298  942 1308 1041]
[-1008.96270116  1033.36308607   990.96270116  1050.63691393],[840 932 862 876],[1279  753 1298  942]
[-1008.96270116  1033.36308607   990.96270116  1050.63691393],[552 398 554 448],[1279  753 1305 1009]
[-1008.96270116  1033.36308607   990.96270116  1050.63691393],[558 575 560 637],[1279  754 1308 1038]
[-1008.96270116  1033.36308607   990.96270116  1050.63691393],[552 398 554 462],[1284  804 1309 1048]
[-1008.96270116  1033.36308607   990.96270116  1050.63691393],[884 819 916 738],[1279  753 1298  942]
[-1008.96270116  1033.36308607   990.96270116  1050.63691393],[826 948 851 886],[1300  963 1307 1032]
[-1008.96270116  1033.36308607   990.96270116  1050.63691393],[849 908 873 848],[1284  807 1308 1043]
[-1008.96270116  1033.36308607   990.96270116  1050.63691393],[826 949 853 880],[1298  943 1308 1046]
[-1008.96270116  1033.36308607   990.96270116  1050.63691393],[826 949 853 880],[1300  962 1308 1047]
[-1008.96270116  1033.36308607   990.96270116  1050.63691393],[826 949 853 881],[1275  715 1286  827]
[-1008.96270116  1033.36308607   990.96270116  1050.63691393],[826 950 851 886],[1286  826 1308 1044]
[-1008.96270116  1033.36308607   990.96270116  1050.63691393],[826 950 851 886],[1286  826 1308 1040]
[-1008.96270116  1033.36308607   990.96270116  1050.63691393],[826 949 851 886],[991 523 991 435]
[-1008.96270116  1033.36308607   990.96270116  1050.63691393],[537  66 541 135],[1274  706 1286  826]
[-1008.96270116  1033.36308607   990.96270116  1050.63691393],[826 948 852 882],[1300  962 1308 1046]
[-1008.96270116  1033.36308607   990.96270116  1050.63691393],[829 942 851 887],[1281  777 1308 1043]
[-1008.96270116  1033.36308607   990.96270116  1050.63691393],[826 949 851 885],[1286  829 1307 1032]
[-1008.96270116  1033.36308607   990.96270116  1050.63691393],[538  76 540 127],[1277  736 1292  887]
[-1008.96270116  1033.36308607   990.96270116  1050.63691393],[871 856 898 785],[1283  800 1308 1044]
[-1008.96270116  1033.36308607   990.96270116  1050.63691393],[826 950 847 897],[1297  932 1308 1045]
[-1008.96270116  1033.36308607   990.96270116  1050.63691393],[551 381 554 449],[1283  797 1307 1032]
[-1008.96270116  1033.36308607   990.96270116  1050.63691393],[851 906 872 853],[1300  963 1308 1047]
[-1008.96270116  1033.36308607   990.96270116  1050.63691393],[452 262 456 356],[1278  746 1283  796]
[-1008.96270116  1033.36308607   990.96270116  1050.63691393],[826 950 846 900],[1278  742 1284  806]
[-1008.96270116  1033.36308607   990.96270116  1050.63691393],[538  76 540 127],[1278  744 1284  807]
[-1008.96270116  1033.36308607   990.96270116  1050.63691393],[844 922 868 864],[1275  715 1284  806]
[-1008.96270116  1033.36308607   990.96270116  1050.63691393],[844 922 867 865],[1275  715 1284  806]
[-1008.96270116  1033.36308607   990.96270116  1050.63691393],[843 923 867 865],[1278  746 1286  827]
[-1008.96270116  1033.36308607   990.96270116  1050.63691393],[843 923 867 865],[1275  715 1284  807]
[-1008.96270116  1033.36308607   990.96270116  1050.63691393],[843 923 867 865],[1278  743 1284  806]
[-1008.96270116  1033.36308607   990.96270116  1050.63691393],[843 923 867 865],[1275  715 1281  776]
[-1008.96270116  1033.36308607   990.96270116  1050.63691393],[844 922 868 864],[1278  747 1308 1041]
[-1008.96270116  1033.36308607   990.96270116  1050.63691393],[844 922 868 864],[1283  796 1296  922]
[-1008.96270116  1033.36308607   990.96270116  1050.63691393],[843 923 867 865],[1278  746 1295  916]
[-1008.96270116  1033.36308607   990.96270116  1050.63691393],[844 922 868 864],[1283  796 1308 1043]
[-1008.96270116  1033.36308607   990.96270116  1050.63691393],[903 771 928 708],[1284  808 1308 1045]
[-1008.96270116  1033.36308607   990.96270116  1050.63691393],[843 923 866 866],[1275  715 1281  777]
[-1008.96270116  1033.36308607   990.96270116  1050.63691393],[843 923 867 865],[1298  945 1308 1041]
[-1008.96270116  1033.36308607   990.96270116  1050.63691393],[843 923 867 865],[1277  740 1308 1041]
[-1008.96270116  1033.36308607   990.96270116  1050.63691393],[844 922 868 864],[1275  715 1284  807]
[-1008.96270116  1033.36308607   990.96270116  1050.63691393],[843 923 867 865],[1277  737 1298  945]
[-1008.96270116  1033.36308607   990.96270116  1050.63691393],[843 923 867 865],[1298  943 1308 1046]
[-1008.96270116  1033.36308607   990.96270116  1050.63691393],[844 922 868 864],[1275  715 1286  827]
[-1008.96270116  1033.36308607   990.96270116  1050.63691393],[843 923 867 865],[1275  715 1281  779]
[-1008.96270116  1033.36308607   990.96270116  1050.63691393],[845 920 872 853],[1286  828 1292  887]
[-1008.96270116  1033.36308607   990.96270116  1050.63691393],[844 923 868 864],[1275  715 1286  827]
[-1008.96270116  1033.36308607   990.96270116  1050.63691393],[844 922 867 865],[1292  885 1308 1046]
[-1008.96270116  1033.36308607   990.96270116  1050.63691393],[556 486 558 541],[1279  755 1298  944]
[-1008.96270116  1033.36308607   990.96270116  1050.63691393],[537  64 541 132],[1283  797 1308 1043]
[-1008.96270116  1033.36308607   990.96270116  1050.63691393],[848 915 852 966],[1281  776 1308 1041]
[-1008.96270116  1033.36308607   990.96270116  1050.63691393],[537  64 541 132],[1264  606 1270  670]
[-1008.96270116  1033.36308607   990.96270116  1050.63691393],[ 866  962  867 1025],[1281  777 1308 1042]
[-1008.96270116  1033.36308607   990.96270116  1050.63691393],[538  75 541 132],[1284  806 1308 1043]
[-1008.96270116  1033.36308607   990.96270116  1050.63691393],[551 382 555 485],[1275  725 1307 1031]
[-1008.96270116  1033.36308607   990.96270116  1050.63691393],[ 875 1017  876  936],[1281  776 1308 1041]
[-1008.96270116  1033.36308607   990.96270116  1050.63691393],[551 382 554 469],[1300  963 1308 1047]
[-1008.96270116  1033.36308607   990.96270116  1050.63691393],[880 998 883 939],[1275  715 1286  826]
[-1008.96270116  1033.36308607   990.96270116  1050.63691393],[551 382 555 487],[1283  796 1308 1042]
[-1008.96270116  1033.36308607   990.96270116  1050.63691393],[ 883 1033  890  943],[1298  945 1308 1046]
[-1008.96270116  1033.36308607   990.96270116  1050.63691393],[ 887 1014  892  959],[1276  724 1287  837]
[-1008.96270116  1033.36308607   990.96270116  1050.63691393],[ 887 1031  903  897],[1276  727 1303  992]
[-1008.96270116  1033.36308607   990.96270116  1050.63691393],[ 888 1035  905  911],[991 797 994 691]
[-1008.96270116  1033.36308607   990.96270116  1050.63691393],[ 889 1036  909  910],[1276  721 1286  824]
[-1008.96270116  1033.36308607   990.96270116  1050.63691393],[453 289 456 364],[1277  734 1290  866]
[-1008.96270116  1033.36308607   990.96270116  1050.63691393],[ 889 1049  911  919],[1277  733 1289  855]
[-1008.96270116  1033.36308607   990.96270116  1050.63691393],[ 890 1042  914  906],[1277  735 1298  943]
[-1008.96270116  1033.36308607   990.96270116  1050.63691393],[ 896 1011  912  912],[1277  734 1298  943]
[-1008.96270116  1033.36308607   990.96270116  1050.63691393],[549 291 551 361],[1277  732 1284  802]
[-1008.96270116  1033.36308607   990.96270116  1050.63691393],[ 896 1014  913  911],[1277  734 1298  942]
[-1008.96270116  1033.36308607   990.96270116  1050.63691393],[553 436 555 486],[1005  773 1005  695]
[-1008.96270116  1033.36308607   990.96270116  1050.63691393],[ 894 1044  913  921],[1278  746 1308 1040]
[-1008.96270116  1033.36308607   990.96270116  1050.63691393],[ 899 1016  909  950],[1276  721 1284  805]
[-1008.96270116  1033.36308607   990.96270116  1050.63691393],[ 897 1038  910  945],[1276  720 1284  804]
[-1008.96270116  1033.36308607   990.96270116  1050.63691393],[ 898 1035  912  929],[936 604 945 670]
[-1008.96270116  1033.36308607   990.96270116  1050.63691393],[ 900 1015  911  940],[1278  745 1300  963]
[-1008.96270116  1033.36308607   990.96270116  1050.63691393],[ 899 1031  910  946],[1276  720 1284  805]
[-1008.96270116  1033.36308607   990.96270116  1050.63691393],[557 508 558 564],[1277  734 1300  962]
[-1008.96270116  1033.36308607   990.96270116  1050.63691393],[553 433 555 486],[1298  944 1306 1023]
[-1008.96270116  1033.36308607   990.96270116  1050.63691393],[556 487 558 563],[1277  735 1300  962]
